"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"duration",15.0927387180841,15.1621487596817,13.655260756899,16.2696389766288,1,"Confirmed"
"src_bytes",20.5754258787548,20.9490653317124,15.0099419932751,23.4822692297825,1,"Confirmed"
"dst_bytes",14.6633933571128,14.5452466292579,13.0719934422357,16.9366839081439,1,"Confirmed"
"land_f",-0.178078012054288,-0.192508390356733,-2.08100626459428,1.27839357662645,0,"Rejected"
"wrong_fragment",22.2982089457032,22.3778848780199,19.9065579964869,24.1401907642749,1,"Confirmed"
"urgent",0,0,0,0,0,"Rejected"
"hot",23.0629634950917,22.9398752398803,18.8985460945964,27.0800802412338,1,"Confirmed"
"num_failed_logins",9.56478629884948,9.51930347548534,7.64611326623839,11.2208687819736,1,"Confirmed"
"logged_in",11.407145217436,11.5622474213473,9.03014510300894,13.3003605018399,1,"Confirmed"
"root_shell",1.78273266648004,1.91875282548451,-0.413760445989696,3.33305049604221,0.0707070707070707,"Rejected"
"su_attempted",0.286000429286967,0,0,1.00100150250438,0,"Rejected"
"num_root",2.62511805613769,2.68583141563092,0.0375076889756943,5.19615487800953,0.444444444444444,"Tentative"
"num_file_creations",-1.25047137731255,-1.31390008068062,-2.63629691008683,0.685998267121878,0,"Rejected"
"num_shells",0.315718167080536,0,0,1.41704983161435,0,"Rejected"
"num_access_files",0.998524537431612,1.05650400869932,-0.498927593765965,2.72031563808907,0,"Rejected"
"is_host_login",0,0,0,0,0,"Rejected"
"is_guest_login",10.752903445655,10.7351650755866,9.33975049096271,12.1103389060357,1,"Confirmed"
"count",23.0754699430118,22.9489420757741,20.5281297412301,25.5810350472431,1,"Confirmed"
"srv_count",20.0654653175736,20.1071551114413,18.1509810207899,22.4650957508261,1,"Confirmed"
"serror_rate",15.1857861624467,15.1350221857366,13.2912756899342,16.9584242925484,1,"Confirmed"
"rerror_rate",17.6597589596612,17.6707795119737,16.1673893558021,19.3400077684693,1,"Confirmed"
"same_srv_rate",16.0862151027992,16.1163998874742,13.8543235694123,19.03755640588,1,"Confirmed"
"diff_srv_rate",17.143159472375,17.2030253396616,14.6983636202947,19.5752423020906,1,"Confirmed"
"srv_diff_host_rate",9.8088262822962,9.98514075945273,6.21850607209985,11.6305719688926,1,"Confirmed"
"dst_host_count",20.3439345495162,20.2748214497358,17.4000895629784,22.9164067900029,1,"Confirmed"
"dst_host_srv_count",15.6448189349622,15.5585088075006,14.16695805051,18.086671920666,1,"Confirmed"
"dst_host_same_srv_rate",16.3676672212033,16.5041116786531,13.5136577154611,20.3074011389997,1,"Confirmed"
"dst_host_diff_srv_rate",23.1372494470197,23.2112097522337,19.4790325261119,26.4104896945329,1,"Confirmed"
"dst_host_same_src_port_rate",22.7073282570197,22.7243741492856,21.0562846537952,24.3374725677698,1,"Confirmed"
